State_Of_Displacement,State_Code,IDPs,HHs,Sudanes,Non_Sudanes,Year,Month,State_Of_Origin,IDPs_by_State_Of_Origin,State_origin_Code
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,South Kordofan,36818,SD07
West Darfur,SD04,123835,24767,123835,0,2023,Dec,South Kordofan,0,SD07
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,South Kordofan,2413,SD07
White Nile,SD09,477041,94659,386140,90901,2023,Dec,South Kordofan,0,SD07
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,West Darfur,0,SD04
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,West Darfur,0,SD04
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,West Darfur,54750,SD04
East Darfur,SD05,658830,131746,658830,0,2023,Dec,West Darfur,0,SD04
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,West Darfur,0,SD04
Kassala,SD11,150307,30058,144877,5430,2023,Dec,West Darfur,0,SD04
Khartoum,SD01,39503,7908,39273,230,2023,Dec,West Darfur,0,SD04
North Darfur,SD02,454248,90778,454248,0,2023,Dec,West Darfur,12455,SD04
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,West Darfur,0,SD04
Northern,SD17,378626,75690,377971,655,2023,Dec,West Darfur,0,SD04
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,West Darfur,65,SD04
River Nile,SD16,645644,128802,645124,520,2023,Dec,West Darfur,0,SD04
Sennar,SD14,408689,81640,408689,0,2023,Dec,West Darfur,0,SD04
South Darfur,SD03,694593,138917,694593,0,2023,Dec,West Darfur,4350,SD04
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,West Darfur,0,SD04
West Darfur,SD04,123835,24767,123835,0,2023,Dec,West Darfur,114845,SD04
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,West Darfur,10,SD04
White Nile,SD09,477041,94659,386140,90901,2023,Dec,West Darfur,0,SD04
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,West Kordofan,0,SD18
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,West Kordofan,0,SD18
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,West Kordofan,0,SD18
East Darfur,SD05,658830,131746,658830,0,2023,Dec,West Kordofan,250,SD18
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,West Kordofan,0,SD18
Kassala,SD11,150307,30058,144877,5430,2023,Dec,West Kordofan,0,SD18
Khartoum,SD01,39503,7908,39273,230,2023,Dec,West Kordofan,0,SD18
North Darfur,SD02,454248,90778,454248,0,2023,Dec,West Kordofan,0,SD18
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,West Kordofan,215,SD18
Northern,SD17,378626,75690,377971,655,2023,Dec,West Kordofan,0,SD18
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,West Kordofan,0,SD18
River Nile,SD16,645644,128802,645124,520,2023,Dec,West Kordofan,0,SD18
Sennar,SD14,408689,81640,408689,0,2023,Dec,West Kordofan,0,SD18
South Darfur,SD03,694593,138917,694593,0,2023,Dec,West Kordofan,0,SD18
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,West Kordofan,0,SD18
West Darfur,SD04,123835,24767,123835,0,2023,Dec,West Kordofan,0,SD18
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,West Kordofan,18784,SD18
White Nile,SD09,477041,94659,386140,90901,2023,Dec,West Kordofan,0,SD18
Aj Jazirah,SD15,504276,98673,504276,0,2023,Dec,White Nile,1232,SD09
Blue Nile,SD08,86230,17260,85805,425,2023,Dec,White Nile,0,SD09
Central Darfur,SD06,360385,72077,360385,0,2023,Dec,White Nile,0,SD09
East Darfur,SD05,658830,131746,658830,0,2023,Dec,White Nile,0,SD09
Gedaref,SD12,352097,69842,344562,7535,2023,Dec,White Nile,0,SD09
Kassala,SD11,150307,30058,144877,5430,2023,Dec,White Nile,0,SD09
Khartoum,SD01,39503,7908,39273,230,2023,Dec,White Nile,0,SD09
North Darfur,SD02,454248,90778,454248,0,2023,Dec,White Nile,0,SD09
North Kordofan,SD13,135790,26563,135480,310,2023,Dec,White Nile,125,SD09
Northern,SD17,378626,75690,377971,655,2023,Dec,White Nile,0,SD09
Red Sea,SD10,182238,36382,166388,15850,2023,Dec,White Nile,0,SD09
River Nile,SD16,645644,128802,645124,520,2023,Dec,White Nile,0,SD09
Sennar,SD14,408689,81640,408689,0,2023,Dec,White Nile,0,SD09
South Darfur,SD03,694593,138917,694593,0,2023,Dec,White Nile,0,SD09
South Kordofan,SD07,107570,21019,106830,740,2023,Dec,White Nile,0,SD09
West Darfur,SD04,123835,24767,123835,0,2023,Dec,White Nile,0,SD09
West Kordofan,SD18,96875,18983,96875,0,2023,Dec,White Nile,0,SD09
White Nile,SD09,477041,94659,386140,90901,2023,Dec,White Nile,1085,SD09
Aj Jazirah,SD15,445565,86383,445565,0,2023,Nov,Aj Jazirah,425,SD15
Blue Nile,SD08,56682,11328,56237,445,2023,Nov,Aj Jazirah,0,SD15
Central Darfur,SD06,354795,70959,354795,0,2023,Nov,Aj Jazirah,0,SD15
East Darfur,SD05,602455,120471,602455,0,2023,Nov,Aj Jazirah,0,SD15
Gedaref,SD12,275286,54831,267751,7535,2023,Nov,Aj Jazirah,0,SD15
Kassala,SD11,115857,23181,110427,5430,2023,Nov,Aj Jazirah,0,SD15
Khartoum,SD01,41538,8100,41273,265,2023,Nov,Aj Jazirah,0,SD15
North Darfur,SD02,430048,85979,430048,0,2023,Nov,Aj Jazirah,0,SD15
North Kordofan,SD13,119734,23409,119424,310,2023,Nov,Aj Jazirah,0,SD15
Northern,SD17,353203,71262,352548,655,2023,Nov,Aj Jazirah,0,SD15
Red Sea,SD10,129785,25965,114562,15223,2023,Nov,Aj Jazirah,0,SD15
River Nile,SD16,611892,122120,611372,520,2023,Nov,Aj Jazirah,0,SD15
Sennar,SD14,348979,69698,348979,0,2023,Nov,Aj Jazirah,0,SD15
South Darfur,SD03,680523,136103,680523,0,2023,Nov,Aj Jazirah,0,SD15
South Kordofan,SD07,101971,19859,101259,712,2023,Nov,Aj Jazirah,0,SD15
West Darfur,SD04,120640,24128,120640,0,2023,Nov,Aj Jazirah,0,SD15
West Kordofan,SD18,74122,14606,74122,0,2023,Nov,Aj Jazirah,0,SD15
White Nile,SD09,430547,85330,339646,90901,2023,Nov,Aj Jazirah,0,SD15
Aj Jazirah,SD15,445565,86383,445565,0,2023,Nov,Central Darfur,0,SD06
Blue Nile,SD08,56682,11328,56237,445,2023,Nov,Central Darfur,0,SD06
Central Darfur,SD06,354795,70959,354795,0,2023,Nov,Central Darfur,215530,SD06
East Darfur,SD05,602455,120471,602455,0,2023,Nov,Central Darfur,0,SD06
Gedaref,SD12,275286,54831,267751,7535,2023,Nov,Central Darfur,0,SD06
Kassala,SD11,115857,23181,110427,5430,2023,Nov,Central Darfur,0,SD06
Khartoum,SD01,41538,8100,41273,265,2023,Nov,Central Darfur,0,SD06
North Darfur,SD02,430048,85979,430048,0,2023,Nov,Central Darfur,7890,SD06
North Kordofan,SD13,119734,23409,119424,310,2023,Nov,Central Darfur,0,SD06
Northern,SD17,353203,71262,352548,655,2023,Nov,Central Darfur,0,SD06
Red Sea,SD10,129785,25965,114562,15223,2023,Nov,Central Darfur,0,SD06
River Nile,SD16,611892,122120,611372,520,2023,Nov,Central Darfur,0,SD06
Sennar,SD14,348979,69698,348979,0,2023,Nov,Central Darfur,0,SD06
South Darfur,SD03,680523,136103,680523,0,2023,Nov,Central Darfur,7365,SD06
South Kordofan,SD07,101971,19859,101259,712,2023,Nov,Central Darfur,0,SD06
West Darfur,SD04,120640,24128,120640,0,2023,Nov,Central Darfur,2550,SD06
West Kordofan,SD18,74122,14606,74122,0,2023,Nov,Central Darfur,0,SD06
White Nile,SD09,430547,85330,339646,90901,2023,Nov,Central Darfur,0,SD06
Aj Jazirah,SD15,445565,86383,445565,0,2023,Nov,East Darfur,0,SD05
Blue Nile,SD08,56682,11328,56237,445,2023,Nov,East Darfur,0,SD05
Central Darfur,SD06,354795,70959,354795,0,2023,Nov,East Darfur,0,SD05
East Darfur,SD05,602455,120471,602455,0,2023,Nov,East Darfur,63500,SD05
Gedaref,SD12,275286,54831,267751,7535,2023,Nov,East Darfur,0,SD05
Kassala,SD11,115857,23181,110427,5430,2023,Nov,East Darfur,0,SD05
Khartoum,SD01,41538,8100,41273,265,2023,Nov,East Darfur,0,SD05
North Darfur,SD02,430048,85979,430048,0,2023,Nov,East Darfur,0,SD05
North Kordofan,SD13,119734,23409,119424,310,2023,Nov,East Darfur,0,SD05
Northern,SD17,353203,71262,352548,655,2023,Nov,East Darfur,0,SD05
Red Sea,SD10,129785,25965,114562,15223,2023,Nov,East Darfur,0,SD05
River Nile,SD16,611892,122120,611372,520,2023,Nov,East Darfur,0,SD05
Sennar,SD14,348979,69698,348979,0,2023,Nov,East Darfur,0,SD05
South Darfur,SD03,680523,136103,680523,0,2023,Nov,East Darfur,0,SD05
South Kordofan,SD07,101971,19859,101259,712,2023,Nov,East Darfur,0,SD05
West Darfur,SD04,120640,24128,120640,0,2023,Nov,East Darfur,160,SD05
West Kordofan,SD18,74122,14606,74122,0,2023,Nov,East Darfur,0,SD05
White Nile,SD09,430547,85330,339646,90901,2023,Nov,East Darfur,0,SD05
Aj Jazirah,SD15,445565,86383,445565,0,2023,Nov,Khartoum,445140,SD01
Blue Nile,SD08,56682,11328,56237,445,2023,Nov,Khartoum,56682,SD01
Central Darfur,SD06,354795,70959,354795,0,2023,Nov,Khartoum,1205,SD01
East Darfur,SD05,602455,120471,602455,0,2023,Nov,Khartoum,358480,SD01
Gedaref,SD12,275286,54831,267751,7535,2023,Nov,Khartoum,275286,SD01
Kassala,SD11,115857,23181,110427,5430,2023,Nov,Khartoum,115857,SD01
Khartoum,SD01,41538,8100,41273,265,2023,Nov,Khartoum,41538,SD01
North Darfur,SD02,430048,85979,430048,0,2023,Nov,Khartoum,8555,SD01
North Kordofan,SD13,119734,23409,119424,310,2023,Nov,Khartoum,106328,SD01
Northern,SD17,353203,71262,352548,655,2023,Nov,Khartoum,353203,SD01
Red Sea,SD10,129785,25965,114562,15223,2023,Nov,Khartoum,129785,SD01
River Nile,SD16,611892,122120,611372,520,2023,Nov,Khartoum,611892,SD01
Sennar,SD14,348979,69698,348979,0,2023,Nov,Khartoum,348979,SD01
South Darfur,SD03,680523,136103,680523,0,2023,Nov,Khartoum,15625,SD01
South Kordofan,SD07,101971,19859,101259,712,2023,Nov,Khartoum,66687,SD01
West Darfur,SD04,120640,24128,120640,0,2023,Nov,Khartoum,999,SD01
West Kordofan,SD18,74122,14606,74122,0,2023,Nov,Khartoum,62148,SD01
White Nile,SD09,430547,85330,339646,90901,2023,Nov,Khartoum,430547,SD01
Aj Jazirah,SD15,445565,86383,445565,0,2023,Nov,North Darfur,0,SD02
Blue Nile,SD08,56682,11328,56237,445,2023,Nov,North Darfur,0,SD02
Central Darfur,SD06,354795,70959,354795,0,2023,Nov,North Darfur,70785,SD02
East Darfur,SD05,602455,120471,602455,0,2023,Nov,North Darfur,8640,SD02
Gedaref,SD12,275286,54831,267751,7535,2023,Nov,North Darfur,0,SD02
Kassala,SD11,115857,23181,110427,5430,2023,Nov,North Darfur,0,SD02
Khartoum,SD01,41538,8100,41273,265,2023,Nov,North Darfur,0,SD02
North Darfur,SD02,430048,85979,430048,0,2023,Nov,North Darfur,367836,SD02
North Kordofan,SD13,119734,23409,119424,310,2023,Nov,North Darfur,0,SD02
Northern,SD17,353203,71262,352548,655,2023,Nov,North Darfur,0,SD02
Red Sea,SD10,129785,25965,114562,15223,2023,Nov,North Darfur,0,SD02
River Nile,SD16,611892,122120,611372,520,2023,Nov,North Darfur,0,SD02
Sennar,SD14,348979,69698,348979,0,2023,Nov,North Darfur,0,SD02
South Darfur,SD03,680523,136103,680523,0,2023,Nov,North Darfur,10080,SD02
South Kordofan,SD07,101971,19859,101259,712,2023,Nov,North Darfur,0,SD02
West Darfur,SD04,120640,24128,120640,0,2023,Nov,North Darfur,286,SD02
West Kordofan,SD18,74122,14606,74122,0,2023,Nov,North Darfur,748,SD02
White Nile,SD09,430547,85330,339646,90901,2023,Nov,North Darfur,0,SD02
Aj Jazirah,SD15,445565,86383,445565,0,2023,Nov,North Kordofan,0,SD13
Blue Nile,SD08,56682,11328,56237,445,2023,Nov,North Kordofan,0,SD13
Central Darfur,SD06,354795,70959,354795,0,2023,Nov,North Kordofan,0,SD13
East Darfur,SD05,602455,120471,602455,0,2023,Nov,North Kordofan,3910,SD13
Gedaref,SD12,275286,54831,267751,7535,2023,Nov,North Kordofan,0,SD13
Kassala,SD11,115857,23181,110427,5430,2023,Nov,North Kordofan,0,SD13
Khartoum,SD01,41538,8100,41273,265,2023,Nov,North Kordofan,0,SD13
North Darfur,SD02,430048,85979,430048,0,2023,Nov,North Kordofan,105,SD13
North Kordofan,SD13,119734,23409,119424,310,2023,Nov,North Kordofan,12328,SD13
Northern,SD17,353203,71262,352548,655,2023,Nov,North Kordofan,0,SD13
Red Sea,SD10,129785,25965,114562,15223,2023,Nov,North Kordofan,0,SD13
River Nile,SD16,611892,122120,611372,520,2023,Nov,North Kordofan,0,SD13
Sennar,SD14,348979,69698,348979,0,2023,Nov,North Kordofan,0,SD13
South Darfur,SD03,680523,136103,680523,0,2023,Nov,North Kordofan,0,SD13
South Kordofan,SD07,101971,19859,101259,712,2023,Nov,North Kordofan,3509,SD13
West Darfur,SD04,120640,24128,120640,0,2023,Nov,North Kordofan,0,SD13
West Kordofan,SD18,74122,14606,74122,0,2023,Nov,North Kordofan,8437,SD13
White Nile,SD09,430547,85330,339646,90901,2023,Nov,North Kordofan,0,SD13
Aj Jazirah,SD15,445565,86383,445565,0,2023,Nov,South Darfur,0,SD03
Blue Nile,SD08,56682,11328,56237,445,2023,Nov,South Darfur,0,SD03
Central Darfur,SD06,354795,70959,354795,0,2023,Nov,South Darfur,12525,SD03
East Darfur,SD05,602455,120471,602455,0,2023,Nov,South Darfur,167925,SD03
Gedaref,SD12,275286,54831,267751,7535,2023,Nov,South Darfur,0,SD03
Kassala,SD11,115857,23181,110427,5430,2023,Nov,South Darfur,0,SD03
Khartoum,SD01,41538,8100,41273,265,2023,Nov,South Darfur,0,SD03
North Darfur,SD02,430048,85979,430048,0,2023,Nov,South Darfur,33207,SD03
North Kordofan,SD13,119734,23409,119424,310,2023,Nov,South Darfur,0,SD03
Northern,SD17,353203,71262,352548,655,2023,Nov,South Darfur,0,SD03
Red Sea,SD10,129785,25965,114562,15223,2023,Nov,South Darfur,0,SD03
River Nile,SD16,611892,122120,611372,520,2023,Nov,South Darfur,0,SD03
Sennar,SD14,348979,69698,348979,0,2023,Nov,South Darfur,0,SD03
South Darfur,SD03,680523,136103,680523,0,2023,Nov,South Darfur,643103,SD03
South Kordofan,SD07,101971,19859,101259,712,2023,Nov,South Darfur,0,SD03
West Darfur,SD04,120640,24128,120640,0,2023,Nov,South Darfur,700,SD03
West Kordofan,SD18,74122,14606,74122,0,2023,Nov,South Darfur,366,SD03
White Nile,SD09,430547,85330,339646,90901,2023,Nov,South Darfur,0,SD03
Aj Jazirah,SD15,445565,86383,445565,0,2023,Nov,South Kordofan,0,SD07
Blue Nile,SD08,56682,11328,56237,445,2023,Nov,South Kordofan,0,SD07
Central Darfur,SD06,354795,70959,354795,0,2023,Nov,South Kordofan,0,SD07
East Darfur,SD05,602455,120471,602455,0,2023,Nov,South Kordofan,0,SD07
Gedaref,SD12,275286,54831,267751,7535,2023,Nov,South Kordofan,0,SD07
Kassala,SD11,115857,23181,110427,5430,2023,Nov,South Kordofan,0,SD07
Khartoum,SD01,41538,8100,41273,265,2023,Nov,South Kordofan,0,SD07
North Darfur,SD02,430048,85979,430048,0,2023,Nov,South Kordofan,0,SD07
North Kordofan,SD13,119734,23409,119424,310,2023,Nov,South Kordofan,1078,SD07
Northern,SD17,353203,71262,352548,655,2023,Nov,South Kordofan,0,SD07
Red Sea,SD10,129785,25965,114562,15223,2023,Nov,South Kordofan,0,SD07
River Nile,SD16,611892,122120,611372,520,2023,Nov,South Kordofan,0,SD07
Sennar,SD14,348979,69698,348979,0,2023,Nov,South Kordofan,0,SD07
South Darfur,SD03,680523,136103,680523,0,2023,Nov,South Kordofan,0,SD07
South Kordofan,SD07,101971,19859,101259,712,2023,Nov,South Kordofan,31775,SD07
West Darfur,SD04,120640,24128,120640,0,2023,Nov,South Kordofan,0,SD07
West Kordofan,SD18,74122,14606,74122,0,2023,Nov,South Kordofan,2413,SD07
White Nile,SD09,430547,85330,339646,90901,2023,Nov,South Kordofan,0,SD07
Aj Jazirah,SD15,445565,86383,445565,0,2023,Nov,West Darfur,0,SD04
Blue Nile,SD08,56682,11328,56237,445,2023,Nov,West Darfur,0,SD04
Central Darfur,SD06,354795,70959,354795,0,2023,Nov,West Darfur,54750,SD04
East Darfur,SD05,602455,120471,602455,0,2023,Nov,West Darfur,0,SD04
Gedaref,SD12,275286,54831,267751,7535,2023,Nov,West Darfur,0,SD04
Kassala,SD11,115857,23181,110427,5430,2023,Nov,West Darfur,0,SD04
Khartoum,SD01,41538,8100,41273,265,2023,Nov,West Darfur,0,SD04
North Darfur,SD02,430048,85979,430048,0,2023,Nov,West Darfur,12455,SD04
North Kordofan,SD13,119734,23409,119424,310,2023,Nov,West Darfur,0,SD04
Northern,SD17,353203,71262,352548,655,2023,Nov,West Darfur,0,SD04
Red Sea,SD10,129785,25965,114562,15223,2023,Nov,West Darfur,0,SD04
River Nile,SD16,611892,122120,611372,520,2023,Nov,West Darfur,0,SD04
Sennar,SD14,348979,69698,348979,0,2023,Nov,West Darfur,0,SD04
South Darfur,SD03,680523,136103,680523,0,2023,Nov,West Darfur,4350,SD04
South Kordofan,SD07,101971,19859,101259,712,2023,Nov,West Darfur,0,SD04
West Darfur,SD04,120640,24128,120640,0,2023,Nov,West Darfur,115945,SD04
West Kordofan,SD18,74122,14606,74122,0,2023,Nov,West Darfur,10,SD04
White Nile,SD09,430547,85330,339646,90901,2023,Nov,West Darfur,0,SD04
Aj Jazirah,SD15,404661,78472,404661,0,2023,Oct,Aj Jazirah,425,SD15
Blue Nile,SD08,54005,10789,53560,445,2023,Oct,Aj Jazirah,0,SD15
Central Darfur,SD06,300065,60013,300065,0,2023,Oct,Aj Jazirah,0,SD15
East Darfur,SD05,536680,107316,536680,0,2023,Oct,Aj Jazirah,0,SD15
Gedaref,SD12,270496,53888,262961,7535,2023,Oct,Aj Jazirah,0,SD15
Kassala,SD11,110170,22001,104740,5430,2023,Oct,Aj Jazirah,0,SD15
Khartoum,SD01,64030,12796,64030,0,2023,Oct,Aj Jazirah,0,SD15
North Darfur,SD02,340838,68037,340838,0,2023,Oct,Aj Jazirah,0,SD15
North Kordofan,SD13,100686,19712,100684,2,2023,Oct,Aj Jazirah,0,SD15
Northern,SD17,362516,73161,361611,905,2023,Oct,Aj Jazirah,0,SD15
Red Sea,SD10,124470,24870,109301,15169,2023,Oct,Aj Jazirah,0,SD15
River Nile,SD16,577568,115389,577243,325,2023,Oct,Aj Jazirah,0,SD15
Sennar,SD14,325836,65014,325836,0,2023,Oct,Aj Jazirah,0,SD15
South Darfur,SD03,599538,119906,599538,0,2023,Oct,Aj Jazirah,0,SD15
South Kordofan,SD07,97336,19053,96624,712,2023,Oct,Aj Jazirah,0,SD15
West Darfur,SD04,112650,22530,112650,0,2023,Oct,Aj Jazirah,0,SD15
West Kordofan,SD18,58421,11396,58421,0,2023,Oct,Aj Jazirah,0,SD15
White Nile,SD09,416328,82929,325668,90660,2023,Oct,Aj Jazirah,0,SD15
Aj Jazirah,SD15,404661,78472,404661,0,2023,Oct,Central Darfur,0,SD06
Blue Nile,SD08,54005,10789,53560,445,2023,Oct,Central Darfur,0,SD06
Central Darfur,SD06,300065,60013,300065,0,2023,Oct,Central Darfur,175380,SD06
East Darfur,SD05,536680,107316,536680,0,2023,Oct,Central Darfur,0,SD06
Gedaref,SD12,270496,53888,262961,7535,2023,Oct,Central Darfur,0,SD06
Kassala,SD11,110170,22001,104740,5430,2023,Oct,Central Darfur,0,SD06
Khartoum,SD01,64030,12796,64030,0,2023,Oct,Central Darfur,0,SD06
North Darfur,SD02,340838,68037,340838,0,2023,Oct,Central Darfur,5945,SD06
North Kordofan,SD13,100686,19712,100684,2,2023,Oct,Central Darfur,0,SD06
Northern,SD17,362516,73161,361611,905,2023,Oct,Central Darfur,0,SD06
Red Sea,SD10,124470,24870,109301,15169,2023,Oct,Central Darfur,0,SD06
River Nile,SD16,577568,115389,577243,325,2023,Oct,Central Darfur,0,SD06
Sennar,SD14,325836,65014,325836,0,2023,Oct,Central Darfur,0,SD06
South Darfur,SD03,599538,119906,599538,0,2023,Oct,Central Darfur,7365,SD06
South Kordofan,SD07,97336,19053,96624,712,2023,Oct,Central Darfur,0,SD06
West Darfur,SD04,112650,22530,112650,0,2023,Oct,Central Darfur,2200,SD06
West Kordofan,SD18,58421,11396,58421,0,2023,Oct,Central Darfur,0,SD06
White Nile,SD09,416328,82929,325668,90660,2023,Oct,Central Darfur,0,SD06
Aj Jazirah,SD15,404661,78472,404661,0,2023,Oct,Khartoum,404236,SD01
Blue Nile,SD08,54005,10789,53560,445,2023,Oct,Khartoum,54005,SD01
Central Darfur,SD06,300065,60013,300065,0,2023,Oct,Khartoum,0,SD01
East Darfur,SD05,536680,107316,536680,0,2023,Oct,Khartoum,358480,SD01
Gedaref,SD12,270496,53888,262961,7535,2023,Oct,Khartoum,270496,SD01
Kassala,SD11,110170,22001,104740,5430,2023,Oct,Khartoum,110170,SD01
Khartoum,SD01,64030,12796,64030,0,2023,Oct,Khartoum,64030,SD01
North Darfur,SD02,340838,68037,340838,0,2023,Oct,Khartoum,8480,SD01
North Kordofan,SD13,100686,19712,100684,2,2023,Oct,Khartoum,88431,SD01
Northern,SD17,362516,73161,361611,905,2023,Oct,Khartoum,362516,SD01
Red Sea,SD10,124470,24870,109301,15169,2023,Oct,Khartoum,124470,SD01
River Nile,SD16,577568,115389,577243,325,2023,Oct,Khartoum,577568,SD01
Sennar,SD14,325836,65014,325836,0,2023,Oct,Khartoum,325836,SD01
South Darfur,SD03,599538,119906,599538,0,2023,Oct,Khartoum,12675,SD01
South Kordofan,SD07,97336,19053,96624,712,2023,Oct,Khartoum,64677,SD01
West Darfur,SD04,112650,22530,112650,0,2023,Oct,Khartoum,784,SD01
West Kordofan,SD18,58421,11396,58421,0,2023,Oct,Khartoum,49587,SD01
White Nile,SD09,416328,82929,325668,90660,2023,Oct,Khartoum,416328,SD01
Aj Jazirah,SD15,404661,78472,404661,0,2023,Oct,North Darfur,0,SD02
Blue Nile,SD08,54005,10789,53560,445,2023,Oct,North Darfur,0,SD02
Central Darfur,SD06,300065,60013,300065,0,2023,Oct,North Darfur,67785,SD02
East Darfur,SD05,536680,107316,536680,0,2023,Oct,North Darfur,7815,SD02
Gedaref,SD12,270496,53888,262961,7535,2023,Oct,North Darfur,0,SD02
Kassala,SD11,110170,22001,104740,5430,2023,Oct,North Darfur,0,SD02
Khartoum,SD01,64030,12796,64030,0,2023,Oct,North Darfur,0,SD02
North Darfur,SD02,340838,68037,340838,0,2023,Oct,North Darfur,287261,SD02
North Kordofan,SD13,100686,19712,100684,2,2023,Oct,North Darfur,0,SD02
Northern,SD17,362516,73161,361611,905,2023,Oct,North Darfur,0,SD02
Red Sea,SD10,124470,24870,109301,15169,2023,Oct,North Darfur,0,SD02
River Nile,SD16,577568,115389,577243,325,2023,Oct,North Darfur,0,SD02
Sennar,SD14,325836,65014,325836,0,2023,Oct,North Darfur,0,SD02
South Darfur,SD03,599538,119906,599538,0,2023,Oct,North Darfur,9705,SD02
South Kordofan,SD07,97336,19053,96624,712,2023,Oct,North Darfur,0,SD02
West Darfur,SD04,112650,22530,112650,0,2023,Oct,North Darfur,286,SD02
West Kordofan,SD18,58421,11396,58421,0,2023,Oct,North Darfur,740,SD02
White Nile,SD09,416328,82929,325668,90660,2023,Oct,North Darfur,0,SD02
Aj Jazirah,SD15,404661,78472,404661,0,2023,Oct,North Kordofan,0,SD13
Blue Nile,SD08,54005,10789,53560,445,2023,Oct,North Kordofan,0,SD13
Central Darfur,SD06,300065,60013,300065,0,2023,Oct,North Kordofan,0,SD13
East Darfur,SD05,536680,107316,536680,0,2023,Oct,North Kordofan,3910,SD13
Gedaref,SD12,270496,53888,262961,7535,2023,Oct,North Kordofan,0,SD13
Kassala,SD11,110170,22001,104740,5430,2023,Oct,North Kordofan,0,SD13
Khartoum,SD01,64030,12796,64030,0,2023,Oct,North Kordofan,0,SD13
North Darfur,SD02,340838,68037,340838,0,2023,Oct,North Kordofan,105,SD13
North Kordofan,SD13,100686,19712,100684,2,2023,Oct,North Kordofan,11325,SD13
Northern,SD17,362516,73161,361611,905,2023,Oct,North Kordofan,0,SD13
Red Sea,SD10,124470,24870,109301,15169,2023,Oct,North Kordofan,0,SD13
River Nile,SD16,577568,115389,577243,325,2023,Oct,North Kordofan,0,SD13
Sennar,SD14,325836,65014,325836,0,2023,Oct,North Kordofan,0,SD13
South Darfur,SD03,599538,119906,599538,0,2023,Oct,North Kordofan,0,SD13
South Kordofan,SD07,97336,19053,96624,712,2023,Oct,North Kordofan,2288,SD13
West Darfur,SD04,112650,22530,112650,0,2023,Oct,North Kordofan,0,SD13
West Kordofan,SD18,58421,11396,58421,0,2023,Oct,North Kordofan,6154,SD13
White Nile,SD09,416328,82929,325668,90660,2023,Oct,North Kordofan,0,SD13
Aj Jazirah,SD15,404661,78472,404661,0,2023,Oct,South Darfur,0,SD03
Blue Nile,SD08,54005,10789,53560,445,2023,Oct,South Darfur,0,SD03
Central Darfur,SD06,300065,60013,300065,0,2023,Oct,South Darfur,2150,SD03
East Darfur,SD05,536680,107316,536680,0,2023,Oct,South Darfur,166475,SD03
Gedaref,SD12,270496,53888,262961,7535,2023,Oct,South Darfur,0,SD03
Kassala,SD11,110170,22001,104740,5430,2023,Oct,South Darfur,0,SD03
Khartoum,SD01,64030,12796,64030,0,2023,Oct,South Darfur,0,SD03
North Darfur,SD02,340838,68037,340838,0,2023,Oct,South Darfur,26712,SD03
North Kordofan,SD13,100686,19712,100684,2,2023,Oct,South Darfur,0,SD03
Northern,SD17,362516,73161,361611,905,2023,Oct,South Darfur,0,SD03
Red Sea,SD10,124470,24870,109301,15169,2023,Oct,South Darfur,0,SD03
River Nile,SD16,577568,115389,577243,325,2023,Oct,South Darfur,0,SD03
Sennar,SD14,325836,65014,325836,0,2023,Oct,South Darfur,0,SD03
South Darfur,SD03,599538,119906,599538,0,2023,Oct,South Darfur,565443,SD03
South Kordofan,SD07,97336,19053,96624,712,2023,Oct,South Darfur,0,SD03
West Darfur,SD04,112650,22530,112650,0,2023,Oct,South Darfur,325,SD03
West Kordofan,SD18,58421,11396,58421,0,2023,Oct,South Darfur,70,SD03
White Nile,SD09,416328,82929,325668,90660,2023,Oct,South Darfur,0,SD03
Aj Jazirah,SD15,404661,78472,404661,0,2023,Oct,South Kordofan,0,SD07
Blue Nile,SD08,54005,10789,53560,445,2023,Oct,South Kordofan,0,SD07
Central Darfur,SD06,300065,60013,300065,0,2023,Oct,South Kordofan,0,SD07
East Darfur,SD05,536680,107316,536680,0,2023,Oct,South Kordofan,0,SD07
Gedaref,SD12,270496,53888,262961,7535,2023,Oct,South Kordofan,0,SD07
Kassala,SD11,110170,22001,104740,5430,2023,Oct,South Kordofan,0,SD07
Khartoum,SD01,64030,12796,64030,0,2023,Oct,South Kordofan,0,SD07
North Darfur,SD02,340838,68037,340838,0,2023,Oct,South Kordofan,0,SD07
North Kordofan,SD13,100686,19712,100684,2,2023,Oct,South Kordofan,930,SD07
